"id","relayid","sensorid","update_time","processed_status","start_index","end_index","index_len","width","peakvalue","other_peak","other_var"
"80","1","1","2017-5-4 11:26:23","0","94","458","2","195","53706","65535","5874"
"81","1","1","2017-5-4 11:26:28","0","95","225","2","76","4414","961","216"
"82","1","1","2017-5-4 11:26:33","0","96","281","2","76","25645","56130","2601"
"83","1","1","2017-5-4 11:26:38","0","95","324","2","100","24947","44358","2579"
"84","1","1","2017-5-4 11:26:43","0","95","333","2","141","12598","14312","1108"
"85","1","1","2017-5-4 11:26:48","0","80","218","2","87","3393","955","165"
"86","1","1","2017-5-4 11:26:53","0","95","317","2","104","29544","65535","3144"
"87","1","1","2017-5-4 11:26:58","0","96","468","2","266","40184","65535","2722"
"88","1","1","2017-5-4 11:27:03","0","95","306","2","120","21511","35979","2060"
"89","1","1","2017-5-4 11:27:08","0","85","632","3","523","3835","993","302"
"90","1","1","2017-5-4 11:27:13","0","96","298","2","119","25328","65535","2933"
"91","1","1","2017-5-4 11:27:18","0","96","293","2","89","31380","65535","3833"
"92","1","1","2017-5-4 11:27:23","0","96","311","2","114","25869","65535","2575"
"93","1","1","2017-5-4 11:27:28","0","95","321","2","114","16486","20016","1607"
"94","1","1","2017-5-4 11:27:33","0","95","301","2","128","28488","59730","2685"
"95","1","1","2017-5-4 11:27:38","0","95","309","2","115","24872","36346","2254"
"96","1","1","2017-5-4 11:27:43","0","95","299","2","123","23431","65339","2431"
"97","1","1","2017-5-4 11:27:48","0","95","309","2","108","16735","11948","1320"
"98","1","1","2017-5-4 11:27:53","0","95","304","2","124","25499","31321","1987"
"99","1","1","2017-5-4 11:27:58","0","95","798","5","603","39792","65535","3460"
"100","1","1","2017-5-4 11:28:03","0","96","798","4","623","32563","65535","3542"
"101","1","1","2017-5-4 11:28:08","0","97","213","2","91","2514","899","77"
"102","1","1","2017-5-4 11:28:13","0","95","241","2","67","11188","13399","1088"
"103","1","1","2017-5-4 11:28:18","0","96","310","2","127","17568","22777","1391"
"104","1","1","2017-5-4 11:28:23","0","95","270","2","94","12970","15289","1305"
"105","1","1","2017-5-4 11:28:28","0","96","326","2","132","37482","65535","3688"
"106","1","1","2017-5-4 11:28:33","0","94","218","2","79","2988","965","139"
"107","1","1","2017-5-4 11:28:38","0","94","302","2","106","19727","60442","2450"
"108","1","1","2017-5-4 11:28:43","0","95","322","2","138","37383","52499","4710"
"109","1","1","2017-5-4 11:28:48","0","96","404","2","206","26093","65535","3291"
"110","1","1","2017-5-4 11:28:53","0","95","325","3","149","24335","65535","3319"
"111","1","1","2017-5-4 11:28:58","0","95","315","2","88","32833","55184","2728"
"112","1","1","2017-5-4 11:29:03","0","94","329","2","97","29657","65535","3684"
"113","1","1","2017-5-4 11:29:08","0","95","770","2","556","30685","65535","3867"
"114","1","1","2017-5-4 11:29:13","0","95","241","2","66","5808","5428","572"
"115","1","1","2017-5-4 11:29:18","0","95","289","2","50","21148","27075","2037"
"116","1","1","2017-5-4 11:29:23","0","95","455","2","275","12553","10550","1042"
"117","1","1","2017-5-4 11:29:28","0","95","309","2","106","13210","15832","1270"
"118","1","1","2017-5-4 11:29:33","0","95","332","2","99","29105","65535","3636"
"119","1","1","2017-5-4 11:29:38","0","95","261","2","85","37100","65535","3787"
"120","1","1","2017-5-4 11:29:43","0","94","458","2","235","41410","65535","4017"
"121","1","1","2017-5-4 11:29:48","0","96","310","2","98","36580","58879","3288"
"122","1","1","2017-5-4 11:29:53","0","96","302","2","109","30477","65535","3783"
"123","1","1","2017-5-4 11:29:58","0","95","647","2","103","21906","41655","2386"
"124","1","1","2017-5-4 11:30:03","0","96","315","2","136","43443","65535","3688"
"125","1","1","2017-5-4 11:30:08","0","95","249","2","92","4771","1379","300"
"126","1","1","2017-5-4 11:30:13","0","95","253","2","105","3407","1243","303"
"127","1","1","2017-5-4 11:30:18","0","96","333","2","102","15856","15779","1255"
"128","1","1","2017-5-4 11:30:23","0","96","312","2","126","15796","13982","1352"
